timestamp,open,high,low,close,volume
2021-06-27 09:22:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:23:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,5882.0
2021-06-27 09:24:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,18716.0
2021-06-27 09:25:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:26:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:27:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,4435.0
2021-06-27 09:28:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:29:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,30425.0
2021-06-27 09:30:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:31:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:32:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:33:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:34:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:35:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,10201.0
2021-06-27 09:36:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:37:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,3764.0
2021-06-27 09:38:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:39:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:40:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:41:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1808.0
2021-06-27 09:42:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,6813.0
2021-06-27 09:43:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:44:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:45:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:46:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1333.0
2021-06-27 09:47:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:48:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:49:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,12765.0
2021-06-27 09:50:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:51:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:52:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:53:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:54:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:55:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 09:56:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,6942.0
2021-06-27 09:57:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:58:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 09:59:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:00:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:01:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:02:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:03:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:04:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,39675.0
2021-06-27 10:05:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:06:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:07:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:08:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:09:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,10481.0
2021-06-27 10:10:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:11:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,121909.0
2021-06-27 10:12:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:13:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:14:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:15:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,638.0
2021-06-27 10:16:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:17:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,20900.0
2021-06-27 10:18:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:19:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:20:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,58908.0
2021-06-27 10:21:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:22:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,694.0
2021-06-27 10:23:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,1331.0
2021-06-27 10:24:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:25:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,848.0
2021-06-27 10:26:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:27:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:28:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,22232.0
2021-06-27 10:29:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:30:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:31:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,34068.0
2021-06-27 10:32:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:33:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:34:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:35:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,14016.0
2021-06-27 10:36:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:37:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:38:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,34290.0
2021-06-27 10:39:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:40:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:41:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,16900.0
2021-06-27 10:42:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:43:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:44:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:45:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,300.0
2021-06-27 10:46:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:47:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 10:48:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,19585.0
2021-06-27 10:49:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:50:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:51:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:52:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:53:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:54:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,10014.0
2021-06-27 10:55:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:56:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:57:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 10:58:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,666.0
2021-06-27 10:59:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1279.0
2021-06-27 11:00:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:01:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:02:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:03:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:04:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.3e-07,23091.0
2021-06-27 11:05:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:06:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,690.0
2021-06-27 11:07:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:08:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:09:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:10:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:11:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,3679.0
2021-06-27 11:12:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,899.0
2021-06-27 11:13:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:14:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:15:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:16:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:17:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,8229.0
2021-06-27 11:18:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:19:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1098.0
2021-06-27 11:20:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,373373.0
2021-06-27 11:21:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:22:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:23:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1500.0
2021-06-27 11:24:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,23968.0
2021-06-27 11:25:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:26:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:27:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1228.0
2021-06-27 11:28:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:29:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:30:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,39949.0
2021-06-27 11:31:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,22791.0
2021-06-27 11:32:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:33:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1451.0
2021-06-27 11:34:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,3582.0
2021-06-27 11:35:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:36:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:37:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,50331.0
2021-06-27 11:38:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,28533.0
2021-06-27 11:39:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:40:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:41:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:42:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:43:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:44:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,2551.0
2021-06-27 11:45:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:46:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:47:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:48:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,24519.0
2021-06-27 11:49:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:50:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:51:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 11:52:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1303.0
2021-06-27 11:53:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:54:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,10770.0
2021-06-27 11:55:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1211.0
2021-06-27 11:56:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1391.0
2021-06-27 11:57:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:58:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 11:59:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:00:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:01:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,3030.0
2021-06-27 12:02:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,561133.0
2021-06-27 12:03:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,13601.0
2021-06-27 12:04:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,737.0
2021-06-27 12:05:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,702.0
2021-06-27 12:06:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:07:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:08:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:09:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:10:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,5003.0
2021-06-27 12:11:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:12:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:13:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:14:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,9734.0
2021-06-27 12:15:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:16:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:17:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:18:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,320.0
2021-06-27 12:19:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:20:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:21:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:22:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:23:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,7280.0
2021-06-27 12:24:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:25:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:26:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:27:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:28:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,3975.0
2021-06-27 12:29:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:30:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:31:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:32:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:33:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:34:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:35:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:36:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:37:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,37695.0
2021-06-27 12:38:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:39:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:40:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:41:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:42:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:43:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,8242.0
2021-06-27 12:44:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:45:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:46:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:47:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:48:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:49:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1408.0
2021-06-27 12:50:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,56631.0
2021-06-27 12:51:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:52:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:53:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:54:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 12:55:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,810.0
2021-06-27 12:56:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 12:57:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,92445.0
2021-06-27 12:58:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1404.0
2021-06-27 12:59:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:00:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:01:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,26137.0
2021-06-27 13:02:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:03:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:04:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,12910.0
2021-06-27 13:05:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:06:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:07:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:08:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:09:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:10:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,17391.0
2021-06-27 13:11:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1649.0
2021-06-27 13:12:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:13:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:14:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:15:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:16:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:17:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:18:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:19:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:20:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,22007.0
2021-06-27 13:21:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:22:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:23:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,771.0
2021-06-27 13:24:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:25:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,4899.0
2021-06-27 13:26:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,795.0
2021-06-27 13:27:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:28:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:29:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:30:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:31:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:32:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,29277.0
2021-06-27 13:33:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:34:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:35:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:36:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:37:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:38:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:39:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:40:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:41:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:42:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,14394.0
2021-06-27 13:43:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:44:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,1322.0
2021-06-27 13:45:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:46:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 13:47:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,19395.0
2021-06-27 13:48:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:49:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:50:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:51:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:52:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,4756.0
2021-06-27 13:53:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:54:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:55:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:56:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:57:00+00:00,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0
2021-06-27 13:58:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,799.0
2021-06-27 13:59:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 14:00:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 14:01:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 14:02:00+00:00,3.3e-07,3.3e-07,3.3e-07,3.3e-07,0.0
2021-06-27 14:03:00+00:00,3.3e-07,3.4e-07,3.3e-07,3.4e-07,33264.0
2021-06-27 14:04:00+00:00,3.4e-07,3.4e-07,3.3e-07,3.3e-07,5369.0
